"Gene";"counts";"vlist"
"MACROH2A1";1;"GoTerms"
"MACROH2A2";1;"GoTerms"
"MAGEA1";1;"GoTerms"
"MAGEA10";1;"GoTerms"
"MAGEA11";1;"GoTerms"
"MAGEA12";1;"GoTerms"
"MAGEA2";1;"GoTerms"
"MAGEA3";1;"GoTerms"
"MAGEA4";1;"GoTerms"
"MAGEA6";1;"GoTerms"
"MAGEA8";1;"GoTerms"
"MAGEA9";1;"GoTerms"
"MAP3K7";1;"GoTerms"
"MAPK8";1;"GoTerms"
"MAPT";1;"GoTerms"
"MAX";1;"GoTerms"
"MBD2";1;"GoTerms"
"MBD3";2;"GoTerms,Reaktom"
"MBIP";2;"GoTerms,Reaktom"
"MBLAC1";1;"GoTerms"
"MBTD1";1;"GoTerms"
"MCM2";1;"GoTerms"
"MCM3AP";1;"GoTerms"
"MCRS1";2;"GoTerms,Reaktom"
"MDC1";1;"GoTerms"
"MEAF6";3;"GoTerms,OMIM,Reaktom"
"Mec1";1;"CellSignal"
"MECOM";2;"GoTerms,Reaktom"
"MECP2";1;"GoTerms"
"MED1";1;"GoTerms"
"MEF2A";1;"GoTerms"
"MEF2B";1;"GoTerms"
"MEF2C";1;"GoTerms"
"MEF2D";2;"GoTerms,OMIM"
"MEN1";2;"GoTerms,Reaktom"
"METTL21A";2;"GoTerms,OMIM"
"METTL22";1;"GoTerms"
"METTL23";1;"GoTerms"
"MGA";1;"GoTerms"
"MIDEAS";1;"GoTerms"
"MIER1";2;"GoTerms,OMIM"
"MIER2";1;"GoTerms"
"MIER3";1;"GoTerms"
"MIF4GD";1;"GoTerms"
"MINA";1;"Reaktom"
"MIR101-1";1;"OMIM"
"MIR200A";1;"OMIM"
"MIR217";1;"OMIM"
"MIR29B2";1;"OMIM"
"MIR4435-2HG";1;"OMIM"
"MLL";1;"CellSignal"
"MLLT1";1;"GoTerms"
"MLLT10";1;"GoTerms"
"MLLT3";1;"GoTerms"
"MLLT6";1;"GoTerms"
"MOCS3";1;"GoTerms"
"MOF ﻿(D. melanogaster)";1;"CellSignal"
"MORC3";1;"GoTerms"
"MORC4";1;"GoTerms"
"MORF4L1";2;"GoTerms,Reaktom"
"MORF4L2";2;"GoTerms,Reaktom"
"MPHOSPH8";1;"GoTerms"
"MRGBP";2;"GoTerms,Reaktom"
"MSH6";1;"GoTerms"
"MSK1";1;"CellSignal"
"MSK2";1;"CellSignal"
"MSL1";2;"GoTerms,Reaktom"
"MSL2";2;"GoTerms,Reaktom"
"MSL3";2;"GoTerms,Reaktom"
"MSL3B";1;"GoTerms"
"Mst1";1;"CellSignal"
"MTA1";2;"GoTerms,Reaktom"
"MTA2";2;"GoTerms,Reaktom"
"MTA3";3;"GoTerms,OMIM,Reaktom"
"MTF1";1;"GoTerms"
"MTF2";2;"GoTerms,Reaktom"
"MTHFD2";1;"OMIM"
"MTPAP";1;"GoTerms"
"MYD88";1;"GoTerms"
"MYOCD";1;"GoTerms"
"MYSM1";1;"GoTerms"
"N6AMT1";1;"GoTerms"
"NAA40";1;"GoTerms"
"NAA50";1;"GoTerms"
"NAA60";1;"GoTerms"
"NACC1";1;"GoTerms"
"NACC2";1;"GoTerms"
"NAE1";1;"GoTerms"
"NAP1L1";1;"GoTerms"
"NAP1L2";1;"GoTerms"
"NAP1L3";1;"GoTerms"
"NAP1L4";1;"GoTerms"
"NASP";2;"GoTerms,OMIM"
"NBN";1;"GoTerms"
"NCAPD2";1;"GoTerms"
"NCAPD3";1;"GoTerms"
"NCAPG2";1;"GoTerms"
"NCBP1";2;"GoTerms,Reaktom"
"NCBP2";2;"GoTerms,Reaktom"
"NCOA1";2;"GoTerms,Reaktom"
"NCOA2";1;"Reaktom"
"NCOA3";1;"GoTerms"
"NCOA6";2;"GoTerms,Reaktom"
"NCOR1";2;"GoTerms,Reaktom"
"NCOR2";2;"GoTerms,Reaktom"
"NFKB1";1;"Reaktom"
"NFKB2";1;"Reaktom"
"NFYC";1;"GoTerms"
"NHK1";1;"CellSignal"
"NIPBL";1;"GoTerms"
"NKX3-1";1;"GoTerms"
"NMNAT2";1;"OMIM"
"NOC2L";2;"GoTerms,OMIM"
"NOP56";1;"GoTerms"
"NPM1";1;"GoTerms"
"NPM2";1;"GoTerms"
"NPM3";1;"GoTerms"
"NR2C1";1;"GoTerms"
"NR2E1";1;"GoTerms"
"NRIP1";1;"GoTerms"
"NSD1";2;"GoTerms,Reaktom"
"NSD2";2;"GoTerms,Reaktom"
"NSD3";2;"GoTerms,Reaktom"
"NTMT1";1;"GoTerms"
"NUDT21";1;"GoTerms"
"OGFOD1";1;"GoTerms"
"OGT";2;"GoTerms,Reaktom"
"p300";1;"CellSignal"
"PACERR";1;"OMIM"
"PADI2";1;"GoTerms"
"PADI4";2;"GoTerms,OMIM"
"PAGR1";2;"GoTerms,Reaktom"
"PAIP2B";1;"OMIM"
"PARP1";2;"GoTerms,OMIM"
"PARP9";1;"GoTerms"
"PAX3";1;"Reaktom"
"PAX6";1;"GoTerms"
"PAXBP1";1;"GoTerms"
"PAXIP1";2;"GoTerms,Reaktom"
"PBRM1";1;"Reaktom"
"PCAF";1;"CellSignal"
"PCGF3";1;"GoTerms"
"PCGF5";1;"GoTerms"
"PCNA";1;"GoTerms"
"PELP1";1;"GoTerms"
"PHB1";1;"GoTerms"
"PHC1";1;"GoTerms"
"PHC2";2;"GoTerms,OMIM"
"PHC3";1;"GoTerms"
"PHF1";2;"GoTerms,Reaktom"
"PHF10";1;"GoTerms"
"PHF12";1;"GoTerms"
"PHF13";1;"GoTerms"
"PHF14";1;"GoTerms"
"PHF19";2;"GoTerms,Reaktom"
"PHF2";2;"GoTerms,Reaktom"
"PHF20";2;"GoTerms,Reaktom"
"PHF20L1";2;"GoTerms,Reaktom"
"PHF21A";2;"GoTerms,Reaktom"
"PHF6";1;"GoTerms"
"PHF8";2;"GoTerms,Reaktom"
"PHIP";1;"GoTerms"
"PIH1D1";1;"GoTerms"
"PKCβI";1;"CellSignal"
"PKCδ";1;"CellSignal"
"PKN1";1;"GoTerms"
"PKN2";1;"GoTerms"
"POLE3";1;"GoTerms"
"POLE4";2;"GoTerms,OMIM"
"POTEE";1;"GoTerms"
"POTEF";1;"GoTerms"
"POTEI";1;"GoTerms"
"POTEJ";1;"GoTerms"
"POTEKP";1;"GoTerms"
"PR-Set7";1;"CellSignal"
"PRDM1";1;"GoTerms"
"PRDM12";1;"GoTerms"
"PRDM13";1;"GoTerms"
"PRDM16";2;"GoTerms,Reaktom"
"PRDM2";1;"GoTerms"
"PRDM4";1;"GoTerms"
"PRDM6";1;"GoTerms"
"PRDM7";1;"GoTerms"
"PRDM8";1;"GoTerms"
"PRDM9";2;"GoTerms,Reaktom"
"PRKAA1";1;"GoTerms"
"PRKAA2";1;"GoTerms"
"PRKCA";1;"GoTerms"
"PRKCB";1;"GoTerms"
"PRKDC";1;"GoTerms"
"PRKN";1;"GoTerms"
"PRMT1";3;"GoTerms,Reaktom,CellSignal"
"PRMT2";2;"GoTerms,CellSignal"
"PRMT3";2;"GoTerms,Reaktom"
"PRMT5";3;"GoTerms,Reaktom,CellSignal"
