"Gene";"counts";"vlist"
"SUV39H1";2;"GoTerms,Reaktom"
"SUV39H2";2;"GoTerms,Reaktom"
"Suv4-20h";1;"CellSignal"
"SUZ12";2;"GoTerms,Reaktom"
"SYNCRIP";1;"GoTerms"
"TADA1";3;"GoTerms,OMIM,Reaktom"
"TADA2A";2;"GoTerms,Reaktom"
"TADA2B";2;"GoTerms,Reaktom"
"TADA3";3;"GoTerms,OMIM,Reaktom"
"TAF1";2;"GoTerms,CellSignal"
"TAF10";2;"GoTerms,Reaktom"
"TAF12";3;"GoTerms,OMIM,Reaktom"
"TAF1L";1;"GoTerms"
"TAF2";1;"GoTerms"
"TAF4";1;"GoTerms"
"TAF5";1;"GoTerms"
"TAF5L";2;"GoTerms,Reaktom"
"TAF6";1;"GoTerms"
"TAF6L";2;"GoTerms,Reaktom"
"TAF7";1;"GoTerms"
"TAF9";2;"GoTerms,Reaktom"
"TAF9B";1;"GoTerms"
"TAL1";1;"GoTerms"
"TASP1";1;"Reaktom"
"TBL1X";2;"GoTerms,Reaktom"
"TBL1XR1";2;"GoTerms,Reaktom"
"TBL1Y";1;"GoTerms"
"TBX2";1;"GoTerms"
"TCF21";1;"GoTerms"
"TDRD3";1;"GoTerms"
"Tel1";1;"CellSignal"
"TENT2";1;"GoTerms"
"TENT4B";1;"GoTerms"
"TET1";1;"GoTerms"
"TEX10";1;"GoTerms"
"TFAP4";1;"GoTerms"
"TGM2";1;"GoTerms"
"THAP7";1;"GoTerms"
"Tip60";1;"CellSignal"
"TLK1";1;"OMIM"
"TNKS";1;"GoTerms"
"TNP1";1;"OMIM"
"TONSL";1;"GoTerms"
"TP53";1;"GoTerms"
"TP53BP1";1;"GoTerms"
"TRAF6";1;"GoTerms"
"TRERF1";1;"GoTerms"
"TRIM24";1;"GoTerms"
"TRIM33";1;"OMIM"
"TRIM37";1;"GoTerms"
"TRIM68";1;"GoTerms"
"TRIP4";1;"GoTerms"
"TRRAP";2;"GoTerms,Reaktom"
"TSPY1";1;"GoTerms"
"TSPY10";1;"GoTerms"
"TSPY2";1;"GoTerms"
"TSPY26P";1;"GoTerms"
"TSPY3";1;"GoTerms"
"TSPY4";1;"GoTerms"
"TSPY8";1;"GoTerms"
"TSPY9";1;"GoTerms"
"TSPYL1";1;"GoTerms"
"TSPYL2";1;"GoTerms"
"TSPYL4";1;"GoTerms"
"TSPYL5";1;"GoTerms"
"TSPYL6";1;"GoTerms"
"TTLL12";1;"GoTerms"
"TTLL4";1;"OMIM"
"TWIST1";1;"GoTerms"
"UBA1";1;"GoTerms"
"UBA2";1;"GoTerms"
"UBA3";1;"GoTerms"
"UBA5";1;"GoTerms"
"UBA6";1;"GoTerms"
"UBA7";1;"GoTerms"
"Ubc9";1;"CellSignal"
"UbcH6";1;"CellSignal"
"UBR2";1;"GoTerms"
"UCN";1;"GoTerms"
"UFC1";1;"GoTerms"
"UFM1";1;"GoTerms"
"UHRF1";1;"GoTerms"
"UHRF2";1;"GoTerms"
"UIMC1";1;"GoTerms"
"unknown";1;"CellSignal"
"UPF1";1;"GoTerms"
"URM1";1;"GoTerms"
